"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Estival",24,0,0,0,"13087293"
"Etusa",1,0,0,0,"16541421"
"Express",18,0,0,0,"10211654"
"FBT (Fédération El Bir pour le Transport)",12,0,0,0,"12451193"
"Foughal Bus Kenitra",42,0,0,0,"10220311"
"Fuerteventura Buses",1,0,0,0,"17011219"
"GGG",12,0,0,0,"12442560"
"GTSC",2,0,0,0,"11275931"
"Gbaka d'Abobo",74,0,0,0,"10179433"
"Gbaka d'Adjamé",130,0,0,0,"10178669"
"Gbaka d'Attécoubé",12,0,0,0,"15786688"
"Gbaka de Bingerville",10,0,0,0,"13494703"
"Gbaka de Cocody",2,0,0,0,"15061187"
"Gbaka de Grand-Bassam",2,0,0,0,"15444867"
"Gbaka de Koumassi",2,0,0,0,"11535714"
"Gbaka de Port-Bouët",10,0,0,0,"11703074"
"Gbaka de Treichville",4,0,0,0,"10406127"
"Gbaka de Yopougon",52,0,0,0,"10403059"
"Global",2,0,0,0,"18196518"
"Gran Canaria Buses",93,0,0,0,"17011488"
"Guaguas Municipales",90,0,0,0,"18178006"
"Guaguas urbanas",3,0,0,0,"15949485"
"Jammie Shuttle",4,0,0,0,"558490"
"Kar'Ouest",29,0,0,0,"10515009"
"Kigali",82,0,0,0,"4227237"
"LCN",12,0,0,0,"12924814"
"Larache Bus",2,0,0,0,"8188055"
"Leeto La Polokwane",1,0,0,0,"10225287"
"Lima Bus",20,0,0,0,"14576052"
"Lusaka City Council",118,0,0,0,"3524446"
"Líneas Interurbanas de Lanzarote",98,0,0,0,"12210589"
"MALAKIA",2,0,0,0,"8217411"
"MG:urban",28,0,0,0,"11168108"
"Morogoro Daladala",38,0,0,0,"8603727"
"Ouagadougou",34,0,0,0,"10328167"
"Oujlida-Aboutachfine-Tlemcen",1,0,0,0,"7848086"
"PeopleMover",4,0,0,0,"10861096"
"Pioneer Easybus",1,0,0,0,"2094283"
"Pioneer easybus",1,0,0,0,"2094514"
"Prima Bus",1,0,0,0,"8138086"
"REM",128,0,0,0,"10047015"
"REM;Chapas",2,0,0,0,"10090074"
"RRT",3,0,0,0,"14547887"
"Rea Vaya",14,0,0,0,"4511530"
"Rea Veay",2,0,0,0,"4517007"
"Réseau bus de Kinshasa",4,0,0,0,"12455298"
"SOTRAL",10,0,0,0,"10966761"
"SOTRAL UL",14,0,0,0,"11106369"
"SOTRAMA",1,0,0,0,"10275951"
"SPTC",116,0,0,0,"10961190"
"STP (Société de Transport Public)",28,0,0,0,"12410861"
"Staréo",4,0,0,0,"5265275"
"SunuBRT",2,0,0,0,"19961937"
"TILP",36,0,0,0,"11929421"
"TMCO",8,0,0,0,"20200021"
"TRANSTU",2,0,0,0,"1714964"
"Tata",1,0,0,0,"3982642"
"Titsa",439,0,0,0,"10411385"
"TransMagnific",1,0,0,0,"13625592"
"Transport urbain",1,0,0,0,"17207110"
"Transport_Urbain_Ain_Defla",2,0,0,0,"16022861"
"Transporte Urbano Regular de Passageiros (TURP)",2,0,0,0,"12874781"
"Transportes La Esperanza",2,0,0,0,"19118202"
"Transportes de Gran Canaria",109,0,0,0,"18167402"
"Transtu",1,0,0,0,"19679813"
"UCTU",1,0,0,0,"11578306"
"UDART",19,0,0,0,"6203372"
"Vectalia Bus Nador",30,0,0,0,"12411376"
"Vectalia Safi",12,0,0,0,"14588506"
"Vitalis Network",2,0,0,0,"11982668"
"Vitalis Transport",48,0,0,0,"10172023"
"Wibus",24,0,0,0,"10213165"
"Woro-woro Banalisé",169,0,0,0,"15341247"
"Woro-woro d'Abobo",72,0,0,0,"10651883"
"Woro-woro d'Adjamé",10,0,0,0,"10413251"
"Woro-woro d'Anyama",6,0,0,0,"15061854"
"Woro-woro d'Attécoubé",12,0,0,0,"11597019"
"Woro-woro de Bassam",4,0,0,0,"15413301"
"Woro-woro de Bingerville",44,0,0,0,"13531689"
"Woro-woro de Cocody",176,0,0,0,"10408667"
"Woro-woro de Koumassi",36,0,0,0,"10672694"
"Woro-woro de Marcory",10,0,0,0,"11538369"
"Woro-woro de Port-Bouët",16,0,0,0,"10647545"
"Woro-woro de Treichville",12,0,0,0,"10408769"
